name,                                                                                 tag,           code,       description
identity,                                                                             multihash,     0x00,       raw binary
ip4,                                                                                  multiaddr,     0x04,
tcp,                                                                                  multiaddr,     0x06,
sha1,                                                                                 multihash,     0x11,
sha2-256,                                                                             multihash,     0x12,
sha2-512,                                                                             multihash,     0x13,
sha3-512,                                                                             multihash,     0x14,
sha3-384,                                                                             multihash,     0x15,
sha3-256,                                                                             multihash,     0x16,
sha3-224,                                                                             multihash,     0x17,
shake-128,                                                                            multihash,     0x18,
shake-256,                                                                            multihash,     0x19,
keccak-224,                                                                           multihash,     0x1a,       keccak has variable output length. The number specifies the core length
keccak-256,                                                                           multihash,     0x1b,
keccak-384,                                                                           multihash,     0x1c,
keccak-512,                                                                           multihash,     0x1d,
blake3,                                                                               multihash,     0x1e,       BLAKE3 has a default 32 byte output length. The maximum length is (2^64)-1 bytes.
dccp,                                                                                 multiaddr,     0x21,
murmur3-128,                                                                          multihash,     0x22,
murmur3-32,                                                                           multihash,     0x23,
ip6,                                                                                  multiaddr,     0x29,
ip6zone,                                                                              multiaddr,     0x2a,
path,                                                                                 namespace,     0x2f,       Namespace for string paths. Corresponds to `/` in ASCII.
multicodec,                                                                           multiformat,   0x30,
multihash,                                                                            multiformat,   0x31,
multiaddr,                                                                            multiformat,   0x32,
multibase,                                                                            multiformat,   0x33,
dns,                                                                                  multiaddr,     0x35,
dns4,                                                                                 multiaddr,     0x36,
dns6,                                                                                 multiaddr,     0x37,
dnsaddr,                                                                              multiaddr,     0x38,
protobuf,                                                                             serialization, 0x50,       Protocol Buffers
cbor,                                                                                 serialization, 0x51,       CBOR
raw,                                                                                  ipld,          0x55,       raw binary
dbl-sha2-256,                                                                         multihash,     0x56,
rlp,                                                                                  serialization, 0x60,       recursive length prefix
bencode,                                                                              serialization, 0x63,       bencode
dag-pb,                                                                               ipld,          0x70,       MerkleDAG protobuf
dag-cbor,                                                                             ipld,          0x71,       MerkleDAG cbor
libp2p-key,                                                                           ipld,          0x72,       Libp2p Public Key
git-raw,                                                                              ipld,          0x78,       Raw Git object
torrent-info,                                                                         ipld,          0x7b,       Torrent file info field (bencoded)
torrent-file,                                                                         ipld,          0x7c,       Torrent file (bencoded)
leofcoin-block,                                                                       ipld,          0x0081,     Leofcoin Block
leofcoin-tx,                                                                          ipld,          0x0082,     Leofcoin Transaction
leofcoin-pr,                                                                          ipld,          0x0083,     Leofcoin Peer Reputation
sctp,                                                                                 multiaddr,     0x0084,
eth-block,                                                                            ipld,          0x0090,     Ethereum Block (RLP)
eth-block-list,                                                                       ipld,          0x0091,     Ethereum Block List (RLP)
eth-tx-trie,                                                                          ipld,          0x0092,     Ethereum Transaction Trie (Eth-Trie)
eth-tx,                                                                               ipld,          0x0093,     Ethereum Transaction (RLP)
eth-tx-receipt-trie,                                                                  ipld,          0x0094,     Ethereum Transaction Receipt Trie (Eth-Trie)
eth-tx-receipt,                                                                       ipld,          0x0095,     Ethereum Transaction Receipt (RLP)
eth-state-trie,                                                                       ipld,          0x0096,     Ethereum State Trie (Eth-Secure-Trie)
eth-account-snapshot,                                                                 ipld,          0x0097,     Ethereum Account Snapshot (RLP)
eth-storage-trie,                                                                     ipld,          0x0098,     Ethereum Contract Storage Trie (Eth-Secure-Trie)
bitcoin-block,                                                                        ipld,          0x00b0,     Bitcoin Block
bitcoin-tx,                                                                           ipld,          0x00b1,     Bitcoin Tx
zcash-block,                                                                          ipld,          0x00c0,     Zcash Block
zcash-tx,                                                                             ipld,          0x00c1,     Zcash Tx
stellar-block,                                                                        ipld,          0x00d0,     Stellar Block
stellar-tx,                                                                           ipld,          0x00d1,     Stellar Tx
md4,                                                                                  multihash,     0x00d4,
md5,                                                                                  multihash,     0x00d5,
bmt,                                                                                  multihash,     0x00d6,     Binary Merkle Tree Hash
decred-block,                                                                         ipld,          0x00e0,     Decred Block
decred-tx,                                                                            ipld,          0x00e1,     Decred Tx
ipld-ns,                                                                              namespace,     0x00e2,     IPLD path
ipfs-ns,                                                                              namespace,     0x00e3,     IPFS path
swarm-ns,                                                                             namespace,     0x00e4,     Swarm path
ipns-ns,                                                                              namespace,     0x00e5,     IPNS path
zeronet,                                                                              namespace,     0x00e6,     ZeroNet site address
ed25519-pub,                                                                          key,           0x00ed,     Ed25519 public key
dash-block,                                                                           ipld,          0x00f0,     Dash Block
dash-tx,                                                                              ipld,          0x00f1,     Dash Tx
swarm-manifest,                                                                       ipld,          0x00fa,     Swarm Manifest
swarm-feed,                                                                           ipld,          0x00fb,     Swarm Feed
udp,                                                                                  multiaddr,     0x0111,
p2p-webrtc-star,                                                                      multiaddr,     0x0113,
p2p-webrtc-direct,                                                                    multiaddr,     0x0114,
p2p-stardust,                                                                         multiaddr,     0x0115,
p2p-circuit,                                                                          multiaddr,     0x0122,
dag-json,                                                                             ipld,          0x0129,     MerkleDAG json
udt,                                                                                  multiaddr,     0x012d,
utp,                                                                                  multiaddr,     0x012e,
unix,                                                                                 multiaddr,     0x0190,
p2p,                                                                                  multiaddr,     0x01a5,     libp2p
ipfs,                                                                                 multiaddr,     0x01a5,     libp2p (deprecated)
https,                                                                                multiaddr,     0x01bb,
onion,                                                                                multiaddr,     0x01bc,
onion3,                                                                               multiaddr,     0x01bd,
garlic64,                                                                             multiaddr,     0x01be,     I2P base64 (raw public key)
garlic32,                                                                             multiaddr,     0x01bf,     I2P base32 (hashed public key or encoded public key/checksum+optional secret)
tls,                                                                                  multiaddr,     0x01c0,
quic,                                                                                 multiaddr,     0x01cc,
ws,                                                                                   multiaddr,     0x01dd,
wss,                                                                                  multiaddr,     0x01de,
p2p-websocket-star,                                                                   multiaddr,     0x01df,
http,                                                                                 multiaddr,     0x01e0,
json,                                                                                 serialization, 0x0200,     JSON (UTF-8-encoded)
messagepack,                                                                          serialization, 0x0201,     MessagePack
libp2p-peer-record,                                                                   libp2p,        0x0301,     libp2p peer record type
x11,                                                                                  multihash,     0x1100,
sm3-256,                                                                              multihash,     0x00534d,
blake2b-8,                                                                            multihash,     0x00b201,     Blake2b consists of 64 output lengths that give different hashes
blake2b-16,                                                                           multihash,     0x00b202,
blake2b-24,                                                                           multihash,     0x00b203,
blake2b-32,                                                                           multihash,     0x00b204,
blake2b-40,                                                                           multihash,     0x00b205,
blake2b-48,                                                                           multihash,     0x00b206,
blake2b-56,                                                                           multihash,     0x00b207,
blake2b-64,                                                                           multihash,     0x00b208,
blake2b-72,                                                                           multihash,     0x00b209,
blake2b-80,                                                                           multihash,     0x00b20a,
blake2b-88,                                                                           multihash,     0x00b20b,
blake2b-96,                                                                           multihash,     0x00b20c,
blake2b-104,                                                                          multihash,     0x00b20d,
blake2b-112,                                                                          multihash,     0x00b20e,
blake2b-120,                                                                          multihash,     0x00b20f,
blake2b-128,                                                                          multihash,     0x00b210,
blake2b-136,                                                                          multihash,     0x00b211,
blake2b-144,                                                                          multihash,     0x00b212,
blake2b-152,                                                                          multihash,     0x00b213,
blake2b-160,                                                                          multihash,     0x00b214,
blake2b-168,                                                                          multihash,     0x00b215,
blake2b-176,                                                                          multihash,     0x00b216,
blake2b-184,                                                                          multihash,     0x00b217,
blake2b-192,                                                                          multihash,     0x00b218,
blake2b-200,                                                                          multihash,     0x00b219,
blake2b-208,                                                                          multihash,     0x00b21a,
blake2b-216,                                                                          multihash,     0x00b21b,
blake2b-224,                                                                          multihash,     0x00b21c,
blake2b-232,                                                                          multihash,     0x00b21d,
blake2b-240,                                                                          multihash,     0x00b21e,
blake2b-248,                                                                          multihash,     0x00b21f,
blake2b-256,                                                                          multihash,     0x00b220,
blake2b-264,                                                                          multihash,     0x00b221,
blake2b-272,                                                                          multihash,     0x00b222,
blake2b-280,                                                                          multihash,     0x00b223,
blake2b-288,                                                                          multihash,     0x00b224,
blake2b-296,                                                                          multihash,     0x00b225,
blake2b-304,                                                                          multihash,     0x00b226,
blake2b-312,                                                                          multihash,     0x00b227,
blake2b-320,                                                                          multihash,     0x00b228,
blake2b-328,                                                                          multihash,     0x00b229,
blake2b-336,                                                                          multihash,     0x00b22a,
blake2b-344,                                                                          multihash,     0x00b22b,
blake2b-352,                                                                          multihash,     0x00b22c,
blake2b-360,                                                                          multihash,     0x00b22d,
blake2b-368,                                                                          multihash,     0x00b22e,
blake2b-376,                                                                          multihash,     0x00b22f,
blake2b-384,                                                                          multihash,     0x00b230,
blake2b-392,                                                                          multihash,     0x00b231,
blake2b-400,                                                                          multihash,     0x00b232,
blake2b-408,                                                                          multihash,     0x00b233,
blake2b-416,                                                                          multihash,     0x00b234,
blake2b-424,                                                                          multihash,     0x00b235,
blake2b-432,                                                                          multihash,     0x00b236,
blake2b-440,                                                                          multihash,     0x00b237,
blake2b-448,                                                                          multihash,     0x00b238,
blake2b-456,                                                                          multihash,     0x00b239,
blake2b-464,                                                                          multihash,     0x00b23a,
blake2b-472,                                                                          multihash,     0x00b23b,
blake2b-480,                                                                          multihash,     0x00b23c,
blake2b-488,                                                                          multihash,     0x00b23d,
blake2b-496,                                                                          multihash,     0x00b23e,
